category,reports_count
,11
AkadÃĄlymentesÃ­tÃĐs,1
Akadálymentesítés,75
EgyÃĐb,4
Egyéb,757
Elhagyott jÃĄrmÅą,4
Elhagyott jármű,1366
Elhagyott jรกrmลฑ,1
Forgalomtechnika,2603
Graffiti,446
JÃĄrda,1
Járda,1223
KerÃĐkpÃĄrozÃĄs,2
Kerékpározás,312
KÃĄtyÃš,2
KÃķzmÅąvek,5
KÃķztisztasÃĄg,10
Kátyú,973
Közművek,2441
Köztisztaság,2977
Közvilágítás,765
Közösségi közlekedés,529
KûÑzméÝvek,1
KĂ¶zmĹ±vek,2
KĂ¶ztisztasĂˇg,1
KĂśzmĹąvek,1
KĂśztisztasĂĄg,4
KГ¶ztisztasГЎg,1
Kأ¶ztisztasأ،g,1
Kأ،tyأ؛,1
Kรกtyรบ,1
Kรถzmลฑvek,1
Kรถztisztasรกg,1
Parkok Ã©s zÃ¶ldterÃŒletek,1
Parkok ÃĐs zÃķldterÃžletek,9
Parkok és zöldterületek,2763
Parkok Ă©s zĂ¶ldterĂĽletek,1
Parkok ĂŠs zĂśldterĂźletek,2
Parkolás,507
